0.49101481 0.00014592
0.48806550 0.00061425
0.48316724 0.00144678
0.47634269 0.00267918
0.46762175 0.00434022
0.45704118 0.00645109
0.44464427 0.00902492
0.43048052 0.01206633
0.41460531 0.01557114
0.39707956 0.01952629
0.37796948 0.02390983
0.35734628 0.02869107
0.33528594 0.03383092
0.31186906 0.03928232
0.28718066 0.04499086
0.26131008 0.05089547
0.23435084 0.05692928
0.20640062 0.06302056
0.17756112 0.06909376
0.14793802 0.07507063
0.11764090 0.08087137
0.08678308 0.08641592
0.05548153 0.09162509
0.02385664 0.09642191
-0.00796803 0.10073277
-0.03986603 0.10448867
-0.07170845 0.10762629
-0.10336433 0.11008908
-0.13470124 0.11182822
-0.16558584 0.11280341
-0.19588460 0.11298366
-0.22546448 0.11234783
-0.25419382 0.11088507
-0.28194310 0.10859509
-0.30858583 0.10548829
-0.33399950 0.10158571
-0.35806640 0.09691877
-0.38067456 0.09152896
-0.40171858 0.08546727
-0.42110046 0.07879348
-0.43873032 0.07157541
-0.45452713 0.06388790
-0.46841928 0.05581182
-0.48034507 0.04743287
-0.49025314 0.03884041
-0.49810273 0.03012614
-0.50386387 0.02138280
-0.50751744 0.01270289
-0.50905509 0.00417728
-0.50847915 -0.00410599
-0.50580230 -0.01206301
-0.50104724 -0.01961515
-0.49424627 -0.02669008
-0.48544077 -0.03322283
-0.47468067 -0.03915658
-0.46202379 -0.04444337
-0.44753529 -0.04904473
-0.43128697 -0.05293205
-0.41335668 -0.05608684
-0.39382767 -0.05850088
-0.37278804 -0.06017610
-0.35033013 -0.06112444
-0.32655007 -0.06136738
-0.30154725 -0.06093551
-0.27542400 -0.05986785
-0.24828514 -0.05821105
-0.22023774 -0.05601853
-0.19139084 -0.05334949
-0.16185521 -0.05026785
-0.13174315 -0.04684113
-0.10116837 -0.04313930
-0.07024576 -0.03923357
-0.03909124 -0.03519523
-0.00782163 -0.03109447
0.02344561 -0.02699923
0.05459255 -0.02297415
0.08550112 -0.01907952
0.11605332 -0.01537035
0.14613164 -0.01189557
0.17561946 -0.00869728
0.20440141 -0.00581016
0.23236394 -0.00326098
0.25939578 -0.00106830
0.28538851 0.00075775
0.31023713 0.00221551
0.33384064 0.00331168
0.35610262 0.00406115
0.37693179 0.00448653
0.39624260 0.00461775
0.41395574 0.00449137
0.42999859 0.00414987
0.44430570 0.00364084
0.45681915 0.00301601
0.46748884 0.00233032
0.47627275 0.00164082
0.48313710 0.00100566
0.48805644 0.00048289
0.49101367 0.00012945
0.49200000 0.00000000
